Country,country_code,Year,Month,local_price,dollar_ex,dollar_price,dollar_ppp,dollar_valuation,currency
Mexico,MEX,2005,6,28,10.8675,2.576489533,9.150326797,-15.80099565,MXN
New Zealand,NZL,2005,6,4.45,1.4023,3.173358055,1.454248366,3.704511589,NZD
Norway,NOR,2005,6,39,6.4326,6.06286727,12.74509804,98.13291732,NOK
Pakistan,PAK,2005,6,130,59.62,2.18047635,42.48366013,-28.74260293,PKR
Peru,PER,2005,6,8.99,3.2546,2.762244208,2.937908497,-9.730581431,PEN
Philippines,PHL,2005,6,80,54.55,1.466544455,26.14379085,-52.07371063,PHP
Poland,POL,2005,6,6.5,3.3096,1.963983563,2.124183007,-35.81753062,PLN
Russia,RUS,2005,6,42,28.4055,1.478586893,13.7254902,-51.68016688,RUB
Saudi Arabia,SAU,2005,6,9,3.7501,2.399936002,2.941176471,-21.5707189,SAR
Singapore,SGP,2005,6,3.6,1.6607,2.167760583,1.176470588,-29.15815089,SGD
South Africa,ZAF,2005,6,13.95,6.6482,2.098312325,4.558823529,-31.42770179,ZAR
South Korea,KOR,2005,6,2500,1005.5,2.486325211,816.9934641,-18.74754211,KRW
Sri Lanka,LKA,2005,6,175,99.945,1.75096303,57.18954248,-42.77898596,LKR
Sweden,SWE,2005,6,31,7.4402,4.166554663,10.13071895,36.16191708,SEK
Switzerland,CHE,2005,6,6.3,1.2475,5.0501002,2.058823529,65.03595426,CHF
Taiwan,TWN,2005,6,75,31.175,2.405773857,24.50980392,-21.37993931,TWD
Thailand,THA,2005,6,60,40.53,1.4803849,19.60784314,-51.62140849,THB
Turkey,TUR,2005,6,4,1.369,2.92184076,1.307189542,-4.515007854,TRY
UAE,ARE,2005,6,9,3.6725,2.450646698,2.941176471,-19.91350659,AED
Ukraine,UKR,2005,6,7.25,5.06,1.432806324,2.369281046,-53.17626392,UAH
United States,USA,2005,6,3.06,1,3.06,1,0,USD
Uruguay,URY,2005,6,44,24.125,1.823834197,14.37908497,-40.39757526,UYU
Venezuela,VEN,2005,6,5600,2629.62,2.129585263,1830.065359,-30.40571035,VEF
Vietnam,VNM,2005,7,0,0,0,0,0,VND
Austria,AUT,2005,7,0,0,0,0,0,EUR
Belgium,BEL,2005,7,0,0,0,0,0,EUR
Estonia,EST,2005,7,0,0,0,0,0,EUR
Finland,FIN,2005,7,0,0,0,0,0,EUR
France,FRA,2005,7,0,0,0,0,0,EUR
Germany,DEU,2005,7,0,0,0,0,0,EUR
Greece,GRC,2005,7,0,0,0,0,0,EUR
Ireland,IRL,2005,7,0,0,0,0,0,EUR
Italy,ITA,2005,7,0,0,0,0,0,EUR
Netherlands,NLD,2005,7,0,0,0,0,0,EUR
Portugal,PRT,2005,7,0,0,0,0,0,EUR
Spain,ESP,2005,7,0,0,0,0,0,EUR
Argentina,ARG,2004,5,4.36,2.95,1.48,1.503448276,-49.03565167,ARS
Australia,AUS,2004,5,3.25,1.43,2.27,1.120689655,-21.63009404,AUD
Brazil,BRA,2004,5,5.4,3.18,1.7,1.862068966,-41.44437215,BRL
Britain,GBR,2004,5,1.88,0.558659218,3.37,0.648275862,16.04137931,GBP
Canada,CAN,2004,5,3.19,1.37,2.33,1.1,-19.7080292,CAD
Chile,CHL,2004,5,1400,641,2.18,482.7586207,-24.68664264,CLP
China,CHN,2004,5,10.4,8.28,1.26,3.586206897,-56.68832251,CNY
Colombia,COL,2004,5,6500,2769.83,2.346714419,2241.37931,-19.07881313,COP
Costa Rica,CRI,2004,5,1130,433.55,2.606389113,389.6551724,-10.12451334,CRC
Czech Republic,CZE,2004,5,56.42,26.5,2.13,19.45517241,-26.58425504,CZK
Denmark,DNK,2004,5,27.75,6.22,4.46,9.568965517,53.84188934,DKK
Egypt,EGY,2004,5,10,6.19,1.62,3.448275862,-44.29279706,EGP
Euro area,EUR,2004,5,2.74,0.833333333,3.28,0.944827586,13.37931034,EUR
Hong Kong,HKG,2004,5,12,7.79,1.54,4.137931034,-46.88150148,HKD
Hungary,HUN,2004,5,530,211,2.52,182.7586207,-13.38453996,HUF
India,IND,2004,5,0,0,0,0,0,INR
Indonesia,IDN,2004,5,16100,9120,1.77,5551.724138,-39.12583182,IDR
Israel,ISR,2004,5,0,0,0,0,0,ILS
Japan,JPN,2004,5,262,113,2.33,90.34482759,-20.04882514,JPY
Latvia,LVA,2004,5,1.09,0.5458,1.997068523,0.375862069,-31.13556816,LVL
Lithuania,LTU,2004,5,6.5,2.8731,2.262364693,2.24137931,-21.98742437,LTL
Malaysia,MYS,2004,5,5.04,3.8,1.33,1.737931034,-54.26497278,MYR
Mexico,MEX,2004,5,24,11.6,2.08,8.275862069,-28.65636147,MXN
